pk,uid,connections
1,841753319139905536,[]
2,1155243829047353344,"[1272742804767363073, 21271464, 773144670507499521, 956611575409987585, 1255694746875559936, 1164674594520928256, 949334784450420736, 1218490429802500098, 1017457351455100928]"
3,977248103462916096,[546777114]
4,546777114,[977248103462916096]
5,1340515736385691648,[]
6,904953667136086017,[]
7,1284388366608465922,"[1297388227708551168, 841753319139905536, 956611575409987585, 356249643]"
8,1101349355871588352,"[1260231428324954112, 956611575409987585, 773144670507499521, 1218490429802500098, 1164674594520928256, 1155243829047353344, 841753319139905536, 1017457351455100928, 949334784450420736]"
9,1346333668923506688,"[773144670507499521, 356249643, 1255694746875559936, 1218490429802500098]"
10,1260231428324954112,"[1218490429802500098, 1255694746875559936]"
11,1035087484516855808,[]
12,949334784450420736,"[1255694746875559936, 1272742804767363073, 21271464, 773144670507499521, 1164674594520928256, 956611575409987585, 1155243829047353344, 1101349355871588352, 1218490429802500098, 1017457351455100928]"
13,1125019396903264257,[773144670507499521]
14,21271464,"[1272742804767363073, 949334784450420736, 773144670507499521, 1218490429802500098, 1155243829047353344, 1017457351455100928]"
15,356249643,"[1346333668923506688, 1284388366608465922, 1297388227708551168]"
16,1218490429802500098,"[1346333668923506688, 1101349355871588352, 1272742804767363073, 1255694746875559936, 21271464, 1260231428324954112, 956611575409987585, 1236983275995840512, 1164674594520928256, 773144670507499521, 1155243829047353344, 1017457351455100928, 949334784450420736]"
17,947125994804137984,[]
18,773144670507499521,"[1346333668923506688, 1125019396903264257, 1272742804767363073, 21271464, 956611575409987585, 1236983275995840512, 949334784450420736, 1017457351455100928, 1218490429802500098]"
19,1255694746875559936,"[21271464, 1346333668923506688, 949334784450420736, 1272742804767363073, 1218490429802500098, 1260231428324954112]"
20,1114975081212600320,[1297388227708551168]
21,1272742804767363073,"[21271464, 773144670507499521, 1155243829047353344, 1255694746875559936, 1218490429802500098, 1017457351455100928, 949334784450420736]"
22,1297388227708551168,"[1284388366608465922, 1114975081212600320, 356249643]"
23,1017457351455100928,"[1284388366608465922, 1272742804767363073, 956611575409987585, 1236983275995840512, 841753319139905536, 1164674594520928256, 1255694746875559936, 773144670507499521, 21271464, 1218490429802500098, 1101349355871588352, 1155243829047353344, 949334784450420736]"
24,3043072586,[1218490429802500098]
25,1164674594520928256,"[956611575409987585, 1017457351455100928, 1218490429802500098, 949334784450420736]"
26,932536363328475136,[]
27,1179719398971625473,[]
28,1236983275995840512,"[773144670507499521, 956611575409987585, 1017457351455100928, 1218490429802500098]"
29,4839485963,[]
30,584832860,[]
31,956611575409987585,"[1284388366608465922, 773144670507499521, 1236983275995840512, 1017457351455100928, 1218490429802500098]"
