pk,uid,connections
1,876276781338296320,['1196945531571965952']
2,1175265794877530113,"['1127641854537818114', '733441241770233856', '1199129271220002816', '3331627803', '1034983920314593280', '2288820930']"
3,1315338410639478790,"['609469374', '1241718813491683329', '1135742101583347712']"
4,1351994423064862722,[]
5,1151534251864723457,['841753319139905536']
6,23959470,"['1351326369762979847', '2931202552', '835127018916212740', '1242668835792175105']"
7,1203017773808533504,[]
8,1063508633156272128,[]
9,750206195713994752,['1270330970034626564']
10,2962293341,"['437918215', '1146240788', '1105923286502965249', '4181685500', '1878174157', '947125994804137984', '35678580', '18494897', '3010389594']"
11,1017296308342870017,[]
12,1084825631253245952,"['1233276713162899456', '1350159260009676801', '1336553789273165828', '1351336554539585538', '1350074326108807169', '1332968505088458753', '1349823231641862144', '598944192', '3996216977', '2399848226', '1184507359470612481', '36175896', '1478083664', '882524476335771649', '1295853984608137217', '1334950219805548544', '844356595735781376', '1304540067445256194', '1081469734602850309', '972551389175013376', '1315268880336670720', '3300975598', '1022281503152062469', '870401658', '1235724096236855296', '2931202552', '1296760117254397952', '1143509667336916992', '1156874592440524800', '1133435945993289729', '1202717900483772422', '4627316907', '2837489893', '1290338574500388865', '1287873982482526208', '455261114', '1113183169644298246', '33101402', '1208878166225362944', '1037127516354277376', '923161484645097472', '169389686', '702143152992313344', '2344519220', '21537801', '841753319139905536', '469026872', '770963499933659137', '1235653433627197442', '1109530912511983616', '2579734706', '1269233706306342913', '1063508633156272128', '1878174157', '35678580', '25945732', '1247168157950844934', '275866844', '796456205329657856', '1217314447833862144', '3010389594', '3331627803', '1192999160204550145', '3084237105', '937556413898883074', '2962293341', '430248296', '1021229221', '999858809295155200', '2821134268', '1209625640451874817', '1105923286502965249', '1086093637593845761', '905593121886621700', '720065147121762304', '1212555393437597697', '3138002277', '760532333569183744', '327755907', '1014652279528435713', '1198090642959872000', '1034983920314593280', '973343660006817792', '184469967', '1001691750078078976']"
13,1241718813491683329,"['1156874592440524800', '1146240788', '1345440300702040065', '1878174157', '1334903263104266244', '1320846991417552896', '140636962', '1315338410639478790', '16959216', '862812529315262465', '3784625243', '3331627803', '1000723954783301632', '1290338574500388865', '958816783942717440', '931148100', '839998182213984256', '1199129271220002816', '1202368997687275521', '2288820930']"
14,770676583,[]
15,1109530912511983616,"['1349823231641862144', '1269344194042097665', '882524476335771649', '1081469734602850309', '3331627803', '165252927', '2837489893', '937845833843822592', '1315268880336670720', '1287873982482526208', '1110989422005309442', '3996216977', '1285377900766789639', '1878174157', '1010711915000225795', '1436578262', '463790597', '1055913264129880064', '1032020371615174656', '1046063860644548616', '973343660006817792', '835127018916212740', '1034042455799283713', '1084825631253245952', '760532333569183744', '1209625640451874817', '841753319139905536', '21537801', '1014652279528435713', '529916796']"
16,783028466346319872,[]
17,1257922300923588611,[]
18,901967901602844673,[]
19,887552714170916864,[]
20,2753028312,[]
21,1253215198577594368,[]
22,803749114118860804,['1241748861082877954']
23,1199696646,[]
24,329889816,[]
25,1266212568122736641,[]
26,1856280486,[]
27,1017425857919508480,[]
28,935613030255202304,[]
29,1174782208516734977,['1202368997687275521']
30,12755702,[]
31,327755907,['1084825631253245952']
32,330168470,[]
33,940702040497557505,[]
34,4265914384,[]
35,1184507359470612481,[]
36,713032238917529601,[]
37,338144421,[]
38,1013510641322258432,[]
39,1329061913175711747,[]
40,185858759,[]
41,1587062185,['1146240788']
42,1000873644942381056,"['1199129271220002816', '796456205329657856', '1310460427168550913', '1301651654069161985', '25945732']"
43,223818125,[]
44,1277946953066663936,[]
45,2547291020,[]
46,1200934269977333761,[]
