pk,user,connections
1,"[1242465959660716032, 'Aphorikles']","[[841753319139905536, 'PseudoDeucalion'], [1155243829047353344, 'TurboRational'], [977248103462916096, 'Sean_O_27'], [546777114, 'JamesLeyland3'], [1340515736385691648, 'valium_cat'], [904953667136086017, 'MilesRouches'], [1284388366608465922, 'ClaraCianfer'], [1101349355871588352, 'aphercotropist'], [1346333668923506688, 'altycoco'], [1260231428324954112, '_machine_dream'], [1035087484516855808, 'DottyCorwin'], [949334784450420736, 'fail_sun'], [1125019396903264257, 'badgerdoodler'], [21271464, 'ivashko'], [356249643, 'trycypress'], [1218490429802500098, 'GeniesLoki'], [947125994804137984, 'body_text'], [773144670507499521, 'flancian'], [1255694746875559936, 'lolitsnotreal_'], [1114975081212600320, 'pu3rt0rr1can0'], [1272742804767363073, 'ThatsMauvelous'], [1297388227708551168, 'troutfishfarms'], [1017457351455100928, 'lehoczkyescobar'], [3043072586, 'BrigetteMetzler'], [1164674594520928256, 'phantom_opus'], [932536363328475136, 'AFAIKKIAFA'], [1179719398971625473, 'mmebyte'], [1236983275995840512, 'shumushi1'], [4839485963, 'mrlxndrslr'], [584832860, 'Taaythedino'], [956611575409987585, 'fulwys']]"
2,"[841753319139905536, 'PseudoDeucalion']",[]
3,"[1155243829047353344, 'TurboRational']","[[1272742804767363073, 'ThatsMauvelous'], [21271464, 'ivashko'], [773144670507499521, 'flancian'], [956611575409987585, 'fulwys'], [1255694746875559936, 'lolitsnotreal_'], [1164674594520928256, 'phantom_opus'], [949334784450420736, 'fail_sun'], [1218490429802500098, 'GeniesLoki'], [1017457351455100928, 'lehoczkyescobar']]"
4,"[977248103462916096, 'Sean_O_27']","[[546777114, 'JamesLeyland3']]"
5,"[546777114, 'JamesLeyland3']","[[977248103462916096, 'Sean_O_27']]"
6,"[1340515736385691648, 'valium_cat']",[]
7,"[904953667136086017, 'MilesRouches']",[]
8,"[1284388366608465922, 'ClaraCianfer']","[[1297388227708551168, 'troutfishfarms'], [841753319139905536, 'PseudoDeucalion'], [956611575409987585, 'fulwys'], [356249643, 'trycypress']]"
9,"[1101349355871588352, 'aphercotropist']","[[1260231428324954112, '_machine_dream'], [956611575409987585, 'fulwys'], [773144670507499521, 'flancian'], [1218490429802500098, 'GeniesLoki'], [1164674594520928256, 'phantom_opus'], [1155243829047353344, 'TurboRational'], [841753319139905536, 'PseudoDeucalion'], [1017457351455100928, 'lehoczkyescobar'], [949334784450420736, 'fail_sun']]"
10,"[1346333668923506688, 'altycoco']","[[773144670507499521, 'flancian'], [356249643, 'trycypress'], [1255694746875559936, 'lolitsnotreal_'], [1218490429802500098, 'GeniesLoki']]"
11,"[1260231428324954112, '_machine_dream']","[[1218490429802500098, 'GeniesLoki'], [1255694746875559936, 'lolitsnotreal_']]"
12,"[1035087484516855808, 'DottyCorwin']",[]
13,"[949334784450420736, 'fail_sun']","[[1255694746875559936, 'lolitsnotreal_'], [1272742804767363073, 'ThatsMauvelous'], [21271464, 'ivashko'], [773144670507499521, 'flancian'], [1164674594520928256, 'phantom_opus'], [956611575409987585, 'fulwys'], [1155243829047353344, 'TurboRational'], [1101349355871588352, 'aphercotropist'], [1218490429802500098, 'GeniesLoki'], [1017457351455100928, 'lehoczkyescobar']]"
14,"[1125019396903264257, 'badgerdoodler']","[[773144670507499521, 'flancian']]"
15,"[21271464, 'ivashko']","[[1272742804767363073, 'ThatsMauvelous'], [949334784450420736, 'fail_sun'], [773144670507499521, 'flancian'], [1218490429802500098, 'GeniesLoki'], [1155243829047353344, 'TurboRational'], [1017457351455100928, 'lehoczkyescobar']]"
16,"[356249643, 'trycypress']","[[1346333668923506688, 'altycoco'], [1284388366608465922, 'ClaraCianfer'], [1297388227708551168, 'troutfishfarms']]"
17,"[1218490429802500098, 'GeniesLoki']","[[1346333668923506688, 'altycoco'], [1101349355871588352, 'aphercotropist'], [1272742804767363073, 'ThatsMauvelous'], [1255694746875559936, 'lolitsnotreal_'], [21271464, 'ivashko'], [1260231428324954112, '_machine_dream'], [956611575409987585, 'fulwys'], [1236983275995840512, 'shumushi1'], [1164674594520928256, 'phantom_opus'], [773144670507499521, 'flancian'], [1155243829047353344, 'TurboRational'], [1017457351455100928, 'lehoczkyescobar'], [949334784450420736, 'fail_sun']]"
18,"[947125994804137984, 'body_text']",[]
19,"[773144670507499521, 'flancian']","[[1346333668923506688, 'altycoco'], [1125019396903264257, 'badgerdoodler'], [1272742804767363073, 'ThatsMauvelous'], [21271464, 'ivashko'], [956611575409987585, 'fulwys'], [1236983275995840512, 'shumushi1'], [949334784450420736, 'fail_sun'], [1017457351455100928, 'lehoczkyescobar'], [1218490429802500098, 'GeniesLoki']]"
