pk,user,connections
1,"[356249643, 'trycypress']","[[901273371517865984, 'finklescronk'], [959209725320601600, 'xintanifae'], [238545576, 'wretched_worm'], [1339649142440734727, 'Katherinemedei9'], [942617280592121863, 'weirdo_rocker'], [218999041, 'd_feldman'], [1330489818, 'DavidakaWyatt'], [1069372585715085313, 'BaronCaliban'], [1266747046146555905, 'jonpryer'], [984632708042248192, 'deplurabel'], [1194471490072088576, 'notlinear1'], [626553915, 'camillococcia'], [1310803816921485312, 'foreign_objekt'], [935804668072091648, 'ECucuruzac'], [1274654473114185728, 'aIteraccount'], [1292583899793690626, 'BombRenewable'], [905410644958117889, 'samuelmartinuk'], [1319499883573698560, 'fairbanks_paru'], [1246583737124519938, 'baseDprim3'], [1165623565154213888, 'larpcore0'], [273109072, 'jblustein'], [1315978115496112131, 'Treelochana'], [1237413856265322497, 'aesthet96724831'], [1223848044, 'Oven_dog'], [993677271805374465, 'moderateohioan'], [1284887976787554304, 'BForona'], [796886676673073152, 'NitroVonMeteor'], [1222722488838131712, 'EntrepreneurVyl'], [1272280595431817223, 'toserendip'], [2553237306, 'alacrates'], [1196174456613482498, 'RespectfulPosts'], [357556946, 'YourFireStory'], [1155686923, 'MksrHou'], [982739657996648448, 'ivanspastic'], [1024789603893403651, 'ashleydzhang'], [1346333668923506688, 'altycoco'], [953742587088834560, 'stHughMungus'], [2627820127, 'hadalcritter'], [1263208647137669122, 'ARBOR20K'], [1239572954209452037, 'russellwebster_'], [37919011, 'Counteredlogos'], [19491219, 'mraginsky'], [906578027634741248, 'anosognosically'], [1242465959660716032, 'Aphorikles'], [519445480, 'Michelle_94330'], [1218490040910860288, '11kilobytes'], [1229927981902155790, 'SystemofSystem3'], [355901510, 'SawyerBoehm'], [1136760209332940800, 'zeropointficti1'], [892945729643302912, 'kalanjiia'], [847310106735779841, 'sansolidaire'], [1336415096109756418, 'abelianraisin'], [1308116366013030400, 'subjacentish'], [1130599297425104898, 'willplombardo'], [1284388366608465922, 'ClaraCianfer'], [38991268, 'PreCursorPoets'], [780829462917095424, 'chernobylski'], [1146240788, 'MBComerford'], [1239827829593976833, 'cuckscape'], [896710688, 'Sophia_45845'], [737532804406218753, 'AlexHermstad'], [355731129, 'zizou7s'], [65303615, 'duncanreyburn'], [1320398372939988994, 'mkprlt'], [835038504, 'Treehouseriots'], [347841587, 'DanSheffler'], [1197682693170978816, 'leafsure'], [1171119675259985922, 'diamondminds2'], [1235236426729623553, 'loafv1'], [1092087614763610113, 'paintedWRLD'], [1262709104176324608, 'dreamatthewheel'], [1317778416184119301, 'dikaiopolis_2'], [1239984405143343109, 'CyberneticSere1'], [963635491349450752, 'pictorangelicvs'], [1266821924824535045, 'apex_simmaps'], [1315911990620102658, 'henryjwallis'], [3243636784, 'yellow81490'], [1126866280672301057, 'BRYeager'], [1316494871583100928, 'jd_graham_'], [293100840, 'HeavyFeatherRev'], [994685561054089217, 'TempleOvSaturn'], [253777771, 'sexdeathrebirth'], [25945732, 'max_hyperion'], [15663872, 'maskoficarus'], [1041335486856359936, 'jackweirmusic'], [1049472978, 'sadalsvvd'], [52479169, 'kingdra69'], [953744821700702208, 'KennethNovis'], [14446807, 'thatinterlace'], [357247724, 'reyzando'], [1264299313867436032, 'nameandnoun'], [1297388227708551168, 'troutfishfarms'], [988185926, 'maestrojmc'], [775696688489099264, 'owenbroadcast'], [1141733638998020097, 'eupsychian'], [1234212400112553989, 'unhappyautomata'], [202169299, 'urbanomicdotcom'], [3193788806, 'mono_to_STEREO'], [2570123624, 'alien_ecologies'], [17275161, 'Rahmeljackson'], [1244720497373347841, 'UheylaS'], [1241779764677038085, 'poltergeist1911'], [1725893048, 'Brianna_Mechele'], [1426414340, 'SlickThik'], [540433918, 'rhsillypeppers'], [1240026338, 'tschusteff'], [788278363, 'HaleyGalvin1211'], [1156704365266329606, 'ANTCO_'], [1011730353390866433, 'neatoqueenRL'], [1027244327368568833, 'Sime40185556'], [1007983180769423360, 'Yatno72347928'], [939217029319491584, 'SebioDsir2'], [1123510466, 'christineGandam'], [892182627209404419, 'SelloutsTV'], [870833197, 'RyanMQuinlan'], [806308742887342081, 'Ayee_Vee_'], [885431396, 'Kurek_Teach'], [69678562, 'pinkbuddhamusic'], [782668229151825920, 'ShineshineTyga'], [781085683033206784, 'bangerslife'], [2907233295, 'payonegroup'], [81284877, 'UCArcadia'], [757139387662467072, 'theDustUpShow'], [752165449668886529, 'bella1927362'], [745776492332748800, 'Charles1927362'], [751580714529918976, 'asvbella3'], [3333509681, 'Primakina91'], [257674109, 'camilaaguerraa'], [3388507174, 'StopOlafur'], [1306250642, 'TallHotYikes'], [3263497943, 'urikmej'], [624664673, 'jennifertrubuch'], [3083008822, 'madmosso'], [2919574734, 'arotello5'], [2588388464, 'tqmreina675'], [496712009, 'calvinswaghero'], [1099978370, 'WillyBrownIII'], [2512945794, 'tithsokphanny22'], [325297338, 'CurrySammich'], [442336689, 'marisarae4'], [1480709023, 'mappayan'], [398953052, 'CJ_Hensley'], [370435296, 'littlemermaid96'], [234609430, 'durtysancherz'], [37002399, 'Obi_Obadike'], [487313271, 'OwnYourJoy'], [2275288266, 'SamBiemer'], [242873488, 'HolidayKirk'], [2220619675, 'jaypiske'], [2207592326, 'grumpybirdie'], [484435911, 'HiteshVarshney'], [2150209092, 'sallykhe'], [2150441790, 'katykatkins'], [1967952828, 'whatameowful'], [1498986750, 'coronacarmona'], [426112965, 'Jennadavies7'], [1365444324, 'GigiMonet'], [982747922, 'TimDanielsen_'], [1441509354, 'robbyhos'], [308989820, 'KimuRobin'], [1361508949, 'AlbertaJhones'], [1146532681, 'vigggy95'], [182169857, 'Tarrysaurus'], [790514640, 'liwannie'], [161790045, 'TEITRband'], [1254277646, 'GladwimGladwin'], [313635022, 'MrSeanaldson'], [1180674942, 'sheldon_ha'], [64138456, 'BasedArnold'], [484138499, 'zaya_amg'], [969294708, '_guptanya_'], [311160392, 'tOm_ficeK'], [490022949, 'StevenWei16'], [1061319078, 'rossmathesius'], [20102920, 'jakespacecadet'], [71873042, 'jman543'], [484392900, 'bean1000000'], [484349723, 'McKalvan'], [19287055, 'ImightbeKevin'], [78172362, 'zgkolar'], [606735476, 'baillie_taylor'], [772977384, 'ayuna_nada'], [634191710, 'BarncordGigi'], [631370832, 'LBarncord'], [368450950, 'Adsmithxx'], [251332266, 'cdotclinks'], [403487374, 'gotjohnson']]"
2,"[901273371517865984, 'finklescronk']","[[1218490040910860288, '11kilobytes']]"
3,"[959209725320601600, 'xintanifae']","[[901273371517865984, 'finklescronk'], [238545576, 'wretched_worm']]"
4,"[238545576, 'wretched_worm']","[[1272280595431817223, 'toserendip'], [905410644958117889, 'samuelmartinuk'], [959209725320601600, 'xintanifae'], [737532804406218753, 'AlexHermstad'], [901273371517865984, 'finklescronk'], [1315978115496112131, 'Treelochana'], [963635491349450752, 'pictorangelicvs'], [1146240788, 'MBComerford'], [1297388227708551168, 'troutfishfarms'], [25945732, 'max_hyperion'], [942617280592121863, 'weirdo_rocker'], [906578027634741248, 'anosognosically'], [1284388366608465922, 'ClaraCianfer'], [1234212400112553989, 'unhappyautomata'], [1218490040910860288, '11kilobytes'], [953742587088834560, 'stHughMungus'], [1241779764677038085, 'poltergeist1911'], [1196174456613482498, 'RespectfulPosts'], [1246583737124519938, 'baseDprim3']]"
5,"[1339649142440734727, 'Katherinemedei9']",[]
6,"[942617280592121863, 'weirdo_rocker']",[]
7,"[218999041, 'd_feldman']",[]
8,"[1330489818, 'DavidakaWyatt']",[]
9,"[1069372585715085313, 'BaronCaliban']",[]
10,"[1266747046146555905, 'jonpryer']","[[1297388227708551168, 'troutfishfarms'], [1263208647137669122, 'ARBOR20K'], [1126866280672301057, 'BRYeager'], [1146240788, 'MBComerford'], [1264299313867436032, 'nameandnoun']]"
11,"[984632708042248192, 'deplurabel']","[[935804668072091648, 'ECucuruzac'], [1284388366608465922, 'ClaraCianfer'], [1308116366013030400, 'subjacentish'], [52479169, 'kingdra69'], [1218490040910860288, '11kilobytes'], [982739657996648448, 'ivanspastic'], [1222722488838131712, 'EntrepreneurVyl'], [1264299313867436032, 'nameandnoun'], [17275161, 'Rahmeljackson'], [2553237306, 'alacrates'], [1146240788, 'MBComerford'], [15663872, 'maskoficarus'], [906578027634741248, 'anosognosically']]"
12,"[1194471490072088576, 'notlinear1']","[[1315978115496112131, 'Treelochana'], [1336415096109756418, 'abelianraisin'], [1024789603893403651, 'ashleydzhang'], [1308116366013030400, 'subjacentish'], [963635491349450752, 'pictorangelicvs']]"
13,"[626553915, 'camillococcia']","[[65303615, 'duncanreyburn'], [38991268, 'PreCursorPoets'], [963635491349450752, 'pictorangelicvs'], [1218490040910860288, '11kilobytes'], [1284388366608465922, 'ClaraCianfer']]"
14,"[1310803816921485312, 'foreign_objekt']","[[1126866280672301057, 'BRYeager'], [1242465959660716032, 'Aphorikles'], [273109072, 'jblustein'], [25945732, 'max_hyperion'], [38991268, 'PreCursorPoets'], [984632708042248192, 'deplurabel'], [1284388366608465922, 'ClaraCianfer'], [253777771, 'sexdeathrebirth'], [2627820127, 'hadalcritter'], [2570123624, 'alien_ecologies'], [1241779764677038085, 'poltergeist1911']]"
15,"[935804668072091648, 'ECucuruzac']","[[984632708042248192, 'deplurabel']]"
16,"[1274654473114185728, 'aIteraccount']",[]
17,"[1292583899793690626, 'BombRenewable']","[[1315911990620102658, 'henryjwallis']]"
18,"[905410644958117889, 'samuelmartinuk']","[[37919011, 'Counteredlogos'], [1284388366608465922, 'ClaraCianfer']]"
19,"[1319499883573698560, 'fairbanks_paru']",[]
20,"[1246583737124519938, 'baseDprim3']","[[253777771, 'sexdeathrebirth']]"
21,"[1165623565154213888, 'larpcore0']",[]
22,"[273109072, 'jblustein']","[[1266821924824535045, 'apex_simmaps'], [1222722488838131712, 'EntrepreneurVyl']]"
